binomial.name,taxonomic.group,Extinct,brain_size,brain_se,mass_sex_mean,mass_sex_se,mass_dimorphism,afr_m,afr_se,ibi_m,ibi_se,gest_m,gest_se,wean_days_m,wean_se,longev_m,longev_se,litter_m,litter_se,HomeRange_km2_m,HomeRange_km2_se,DayLength_km,fruit_m,fruit_se,leaves_m,leaves_se,fauna_m,fauna_se,MeanGroupSize,AdultMales,AdultFemale,AdultSexRatio
Allocebus_trichotis,Lemurs,no,,,77.5,4,1.095238095,,,,,232.5,,,,,,1,,,,,,,,,,,1,,,
Archaeoindris_fontoynontii,Lemurs,yes,,,161200,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Archaeolemur_edwardsi,Lemurs,yes,,,26500,,1,,,,,,,,,,,,,,,,,,,,,,,3.5,3,0.857142857
Archaeolemur_majori,Lemurs,yes,93,,18200,,1,,,1095,,175.2,,609.55,,,,,,,,,,,,,,,,,,
Avahi_cleesei,Lemurs,no,,,995,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
Avahi_laniger,Lemurs,no,9.931111607,0.068888393,1174,7.5,0.846212701,941.7,,365,,146.55,10.4,149.4,0.25,,,1.005,0.005,0.01,,0.46,,,,,,,3,1,1,1
Avahi_meridionalis,Lemurs,no,,,1175,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avahi_occidentalis,Lemurs,no,7.95,,816,34.9,1.091063275,,,,,,,,,,,1.02,,0.135,,,,,,,,,3.5,4.1,2.6,0.634146341
Avahi_ramanantsoavanai,Lemurs,no,,,1050,,,,,,,,,,,,,,,,,,,,,,,,,2.25,2.13,0.946666667
Babakotia_radafolia,Lemurs,yes,,,20700,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Cheirogaleus_crossleyi,Lemurs,no,,,348.7857143,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheirogaleus_major,Lemurs,no,5.856672143,0.043327857,400,38,1.209944751,,,365,,68.11666667,1.569589472,58.245,11.105,180,,2.26,,0.02,,,,,,,,,1,,,
Cheirogaleus_medius,Lemurs,no,2.75,0.15,139.5,8,1.007194245,399.6733333,54.96139746,365,,62.23333333,1.75720738,63.175,2.525,347.88,69.25813743,2.086666667,0.067659277,0.03,,,,,,,,,1,,,
Cheirogaleus_sibreei,Lemurs,no,,,243.94,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
Daubentonia_madagascariensis,Lemurs,no,45.02480588,0.17519412,2675,12.5,1.052208835,1408.9,131.4,836.455,76.045,169.0666667,3.120541264,370.0666667,101.010335,388.44,34.57187296,1.005,0.005,0.356,,2.95,,,0,,,,1,,,
Daubentonia_robustus,Lemurs,yes,,,14200,,,,,,,,,,,,,,,,,,,,,,,,,2.5,1.42,0.568
Eulemur_albifrons,Lemurs,no,21.4474,,2310,54.5,1.047786059,938.05,,,,120,,,,408,,1.65,,0.13,,0.9825,69,,11.5,,,,9,1,1,1
Eulemur_cinereiceps,Lemurs,no,22.1,,2250,10,1.009389671,,,,,,,,,,,,,,,,,,,,,,,2.3,3.3,1.434782609
Eulemur_collaris,Lemurs,no,,,2180,,1.047786059,664.3,65.7,365,,120,,,,391.32,,1.23,,0.7,,2.5,79.4,,5.2,,,,7,1.366666667,2.2,1.609756098
Eulemur_coronatus,Lemurs,no,20.65096286,,1200,100,1.185185185,677.075,52.925,365,,123,3,,,329.04,54.12,1.385,0.145,0.1165,,0.912,81.9,,3.3,,,,9.25,2.9,6.3,2.172413793
Eulemur_flavifrons,Lemurs,no,,,1900,,1.047786059,580.35,,365,,120,,,,292.44,,1.04,,,,,,,,,,,,1.925,2.175,1.12987013
Eulemur_fulvus,Lemurs,no,27.48466701,1.715332993,1820,65.33333333,0.964285714,755.55,134.8196233,456.25,91.25,120.7,1.795364401,150.73,15.88544092,444,25.91259153,1.076666667,0.03929942,0.162,,0.447,68.7,,37.3,11.7,0,,8.9,1.7,2.2,1.294117647
Eulemur_macaco,Lemurs,no,25.05725625,0.54274375,1820,39.5,0.967078189,734.8666667,99.58845872,365,,123.7,2.030599255,139.165,4.115,362.76,12.16611688,1.14,0.120554275,0.05275,,,64.3,,23,,0,,10,1,1,1
Eulemur_mongoz,Lemurs,no,20.98605429,0.813945714,1043,221.2179487,0.892156863,828.55,89.43120727,365,,126.4666667,3.379020239,154.04,2.91,418.32,33.01507534,1.046666667,0.032829526,0.035,,0.712,63.3,,10.45,8.85,0,,2.93,1,1,1
Eulemur_rubriventer,Lemurs,no,26.71636657,0.483633427,2013,20,1.020618557,649.7,,365,,124.7,2.90229794,144.96,6.26,380.4,70.2,1.03,0.02,0.195,,0.444,81,,15,,,,3,,,
Eulemur_rufifrons,Lemurs,no,,,2250,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
Eulemur_rufus,Lemurs,no,25.39597,,2214,50,0.955947137,565.75,,,,120,,,,386.16,,1.08,,0.792,,0.8475,68.36666667,,24.13333333,,,,9.17,1,1,1
Eulemur_sanfordi,Lemurs,no,,,1850,20,1.021857923,587.65,,,,120,,,,380.4,,1.06,,0.07,,0.758,89.1,,2.2,,,,5,1,1,1
Hadropithecus_stenognathus,Lemurs,yes,106,,35400,,1,,,1460,,189.8,,1095,,,,,,,,,,,,,,,,16,16,1
Hapalemur_alaotrensis,Lemurs,no,13.8,,1325,11.5,0.981614708,,,,,,,,,,,,,0.043,,,,,,,,,,,,
Hapalemur_aureus,Lemurs,no,,,1548,,1.11641791,,,365,,140.25,2.25,157.5,22.5,,,1.01,,0.37,,0.4,13,,,,87,,3,,,
Hapalemur_griseus,Lemurs,no,14.39645,0.30355,935,22.5,1.11641791,807.8833333,130.058898,349.79,15.21,141.85,1.920358763,128.37,7.92,280.8,39.56361965,1.366666667,0.133333333,0.045,,0.43,,,,,,,4.4,,,
Hapalemur_simus,Lemurs,no,,,2450,425,1.653846154,,,,,150,8,,,144,,1,,0.62,,,,,,,,,7,,,
Indri_indri,Lemurs,no,34.65332344,0.153323438,6500,357.5,0.852339181,,,855.3166667,62.73801568,149.9333333,6.989595442,314.8466667,34.71110549,,,1.005,0.005,0.12,,0.25,43,,57,,,,3.2,2.8,3.3,1.178571429
Lemur_catta,Lemurs,no,24.2523425,1.3476575,2245,20,1,696.54,110.6200815,460.3033333,52.83890938,134.5666667,2.520802341,137.07,21.72468028,372.96,14.25953716,1.226666667,0.037118429,0.11,,0.9,54,,43.6,,0,,17,2,1,0.5
Lepilemur_aeeclis,Lemurs,no,,,730,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepilemur_ankaranensis,Lemurs,no,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,3.6,4.9,1.361111111
Lepilemur_dorsalis,Lemurs,no,6.7,,615,53,0.885157096,,,,,,,,,,,1.01,,,,,,,,,,,1,3.4,5,1.470588235
Lepilemur_edwardsi,Lemurs,no,7.25,,1100,3,0.993576017,,,,,,,,,,,,,0.008338038,,,,,,,,,2,3.5,6.9,1.971428571
Lepilemur_hubbardorum,Lemurs,no,,,990,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepilemur_jamesi,Lemurs,no,,,780,,,,,,,,,,,,,,,,,,,,,,,,,2,7.5,3.75
Lepilemur_leucopus,Lemurs,no,6.869683333,,600,11.5,1.038720539,,,,,135.46,0.46,98.33,23.33,103,,1.01,,0.001998666,,,,,,,,,1,,,
Lepilemur_manasamody,Lemurs,no,,,780,,,,,,,,,,,,,,,,,,,,,,,,,2,9.5,4.75
Lepilemur_microdon,Lemurs,no,7.4,,1050,,0.9,,,365,,138.7,,120.45,,,,,,,,,,,,,,,,,,
Lepilemur_mittermeieri,Lemurs,no,,,730,,,,,,,,,,,,,,,,,,,,,,,,,9,25,2.777777778
Lepilemur_mustelinus,Lemurs,no,8.1,,1000,,0.9,681.635,4.565,365,,136.2333333,1.85,85.02,8.590939025,144,,1,,0.002734203,,,,,91,,,,1,,,
Lepilemur_otto,Lemurs,no,,,862.5,,,,,,,,,,,,,,,,,,,,,,,,,1,8.5,8.5
Lepilemur_randrianasoli,Lemurs,no,,,788,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4
Lepilemur_ruficaudatus,Lemurs,no,8.25,,855,1.5,1.00373599,594.95,,,,155.96,20.04,119.885,0.565,120,,1.02,,0.008,,,,,,,,,1,1,3,3
Lepilemur_sahamalazensis,Lemurs,no,,,700,,,,,,,,,,,,,,,,,,,,,,,,,1,7,7
Lepilemur_septentrionalis,Lemurs,no,,,750,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megaladapis_edwardsi,Lemurs,yes,135.6,,85100,,1,,,730,,248.2,,379.6,,,,,,,,,,,,,,,,,,
Megaladapis_grandidieri,Lemurs,yes,,,74300,,,,,,,,,,,,,,,,,,,,,,,,,1.5,10.4,6.933333333
Megaladapis_madagascariensis,Lemurs,yes,,,46500,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mesopropithecus_dolichobrachion,Lemurs,yes,40.5,,13700,,,,,730,,211.7,,200.75,,,,,,,,,,,,,,,,,,
Mesopropithecus_pithecoides,Lemurs,yes,,,11300,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
Microcebus_arnholdi,Lemurs,no,,,56,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
Microcebus_berthae,Lemurs,no,,,30.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microcebus_bongolavensis,Lemurs,no,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microcebus_danfossi,Lemurs,no,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microcebus_gerpi,Lemurs,no,,,70,,,,,,,,,,,,,,,,,,,,,,,,,1.8,4.4,2.444444444
Microcebus_griseorufus,Lemurs,no,,,62.6,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
Microcebus_lehilahytsara,Lemurs,no,,,39,,,,,,,,,,,,,,,,,,,,,,,,,0.9,1,1.111111111
Microcebus_macarthurii,Lemurs,no,,,53,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
Microcebus_mamiratra,Lemurs,no,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microcebus_marohita,Lemurs,no,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microcebus_mittermeieri,Lemurs,no,,,56.4,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
Microcebus_murinus,Lemurs,no,1.715362706,0.084637294,60,3.3,0.9375,321.4,51.38767686,365,,61.01666667,0.591842697,37.81666667,2.484842942,215.52,10.00383926,2.073333333,0.126666667,0.01,,,51,,,,,,1,7.3,8.2,1.123287671
Microcebus_myoxinus,Lemurs,no,,,49,0.5,1.033333333,,,,,59.99,,,,,,2,,,,,,,,,,,1,1.6,1,0.625
Microcebus_ravelobensis,Lemurs,no,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microcebus_rufus,Lemurs,no,1.716401667,,43,0.5,1.023809524,365,,365,,59,2,40,,144,,2.52,,0.01,,,,,,,,,1,1.8,1.5,0.833333333
Microcebus_sambiranensis,Lemurs,no,,,44.1,,,,,,,,,,,,,,,,,,,,,,,,,4.3,7.8,1.813953488
Microcebus_simmonsi,Lemurs,no,,,60.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microcebus_tanosi,Lemurs,no,,,51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microcebus_tavaratra,Lemurs,no,,,61.1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
Mirza_coquereli,Lemurs,no,5.797937625,0.002062375,300,2,0.996794872,542.6333333,105.4787551,365,,90.125,1.125,111.8,24.2,183.6,0.3,1.605,0.105,0.035,,,,,,,,,1,,,
Mirza_zaza,Lemurs,no,,,293,,1,487.15,187.85,210,,89.6,0.4,,,239.64,,1.58,,,,,,,,,,,,,,
Pachylemur_insignis,Lemurs,yes,,,11500,,,,,,,,,,,,,,,,,,,,,,,,,2.7,6.2,2.296296296
Palaeopropithecus_ingens,Lemurs,yes,80,,41500,,1,,,730,,321.2,,182.5,,,,,,,,,,,,,,,,4.7,7,1.489361702
Palaeopropithecus_maximus,Lemurs,yes,,,45800,,,,,,,,,,,,,,,,,,,,,,,,,4.5,11,2.444444444
Phaner_furcifer,Lemurs,no,6.681421429,,450,11,0.937142857,,,,,174.46,,,,144,,1.01,,0.02,,,,,,,,,2,,,
Propithecus_candidus,Lemurs,no,,,5500,,,1440,,600,,,,,,,,,,,,,,,,,,,,2.6,13.45,5.173076923
Propithecus_coquereli,Lemurs,no,30.1941,,3700,28.5,0.98482832,1111.8,148.2,365,,143.9966667,9.644169799,180.96,,367.08,,1,,0.06,,,,,,,,,5.5,,,
Propithecus_coronatus,Lemurs,no,,,3900,,1,540,,,,150,,,,,,,,0.0135,,,,,,,,,5,1.27,7.57,5.960629921
Propithecus_deckenii,Lemurs,no,30.15115857,,2810,101.6666667,0.944036697,,,,,,,,,,,,,,,,,,,,,,4,3.5,10,2.857142857
Propithecus_diadema,Lemurs,no,38.39966062,1.399660616,5190,565,0.974235105,1515.383333,65.63774532,570.2666667,79.86700056,173.1666667,8.115485883,219.385,36.885,,,1.005,0.005,0.2925,,,15.05,,44.9,3.9,0,,5.38,,,
Propithecus_edwardsi,Lemurs,no,39.4881567,,5742,213.1000066,0.92770144,1440,,570,,179,,180,,324,,1,,4,,,30.4,,28.2,,0,,4.6,1,2,2
Propithecus_perrieri,Lemurs,no,,,4650,,,,,,,,,,,,,,,0.3,,,,,,,,,4,,,
Propithecus_tattersalli,Lemurs,no,30.5,,3500,100,0.944289694,1541.25,101.25,365,,175.575,10.575,151.065,1.065,240,105,,,0.0825,,,46.2,,38.7,,0,,4.1,1,1,1
Propithecus_verreauxi,Lemurs,no,26.85294143,0.647058571,3190,75.75,0.983221477,1964.35,504.3379381,575.8,210.8,151.65,2.712163958,179.7266667,1.417584017,247.2,38.47220295,1.01,0.01,0.0475,,0.85,24,,53,12,0,,5,1.2,1.4,1.166666667
Varecia_rubra,Lemurs,no,31.08391333,,3470,130,1.077844311,609.55,,365,,100,2,90,,450.48,,2.22,,0.577,,,86,,4,,0,,4.19,1.05,3.55,3.380952381
Varecia_variegata,Lemurs,no,33.16132154,1.038678463,3665,260,1.03125,764.0666667,119.8462986,730,210.7328483,99.73333333,1.266666667,109.3266667,18.33728109,472.68,94.32048346,1.953333333,0.107289846,1.145,,1.021,90,,6,,0,,2.8,1,3.8,3.8
